BSK5,Fosfat,Nitrat,month,Latitude,Longitude,Observed_Nitrogen,Predicted_Nitrogen,Residual,Post_Name,Indicator,Model
4.44,2.0,6.0,2,47.470472,29.35975,1.399,2.1047735,-0.7057735214233398,"р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою",Nitrogen / Azot,XGBoost
1.3,0.4899999999999999,5.7,2,45.435156,29.264058,1.36,2.291925,-0.9319249534606933,"р. Дунай, 48 км, м. Кілія, питний в/з",Nitrogen / Azot,XGBoost
4.3,2.0,3.3,8,50.111286,24.349356,2.8,5.767362,-2.967362117767334,"р. Західний Буг, 704 км, м. Кам'янка Бузька, в/з",Nitrogen / Azot,XGBoost
4.44,2.0,6.0,2,47.470472,29.35975,1.399,2.1047735,-0.7057735214233398,"р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою",Nitrogen / Azot,XGBoost
4.3,2.0,3.3,8,50.111286,24.349356,2.8,5.767362,-2.967362117767334,"р. Західний Буг, 704 км, м. Кам'янка Бузька, в/з",Nitrogen / Azot,XGBoost
40.0,0.4299999999999999,82.6,6,46.097983,28.995199,23.54,20.640732,2.8992681884765616,"р. Киргиж-Китай, 49 км, с. М. Ярославець, кордон з Молдовою",Nitrogen / Azot,XGBoost
40.0,0.4299999999999999,82.6,6,46.097983,28.995199,23.54,20.640732,2.8992681884765616,"р. Киргиж-Китай, 49 км, с. М. Ярославець, кордон з Молдовою",Nitrogen / Azot,XGBoost
1.3,0.4899999999999999,5.7,2,45.435156,29.264058,1.36,2.291925,-0.9319249534606933,"р. Дунай, 48 км, м. Кілія, питний в/з",Nitrogen / Azot,XGBoost
